Component,Arabic,Chinese Traditional,German,Hindi,Spanish,Turkish,Chinese Simplified (zh/),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  - __init__,Completed,Completed,Completed,Completed,Completed,In Progress,Completed,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  - _load_prompt_templates,Completed,Completed,Completed,Completed,Completed,In Progress,Completed,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  - _get_default_prompt_templates,Completed,Completed,Completed,Completed,Completed,In Progress,Completed,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  - get_color_scheme,Completed,Completed,Completed,Completed,Completed,In Progress,Completed,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  - get_grammatical_roles,Completed,Completed,Completed,Completed,Completed,In Progress,Completed,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  - should_show_role,Completed,Completed,Completed,Completed,Completed,In Progress,Completed,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  - is_arabic_text,Completed,Completed,Completed,Completed,Completed,In Progress,Completed,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  - normalize_arabic_text,Completed,Completed,Completed,Completed,Completed,In Progress,Completed,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  - extract_arabic_root,Completed,Completed,Completed,Completed,Completed,In Progress,Completed,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
domain/fallbacks.py,Completed,Completed,Completed,Completed,Completed,In Progress,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  - __init__,Completed,Completed,Completed,Completed,Completed,In Progress,Completed,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  - create_fallback,Completed,Completed,Completed,Completed,Completed,In Progress,Completed,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  - _tokenize_arabic,Completed,Completed,Completed,Completed,Completed,In Progress,Completed,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  - _guess_role,Completed,Completed,Completed,Completed,Completed,In Progress,Completed,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
domain/patterns.py,Completed,Completed,Completed,Completed,Completed,In Progress,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  - __init__,Completed,Completed,Completed,Completed,Completed,In Progress,Completed,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  - get_pattern,Completed,Completed,Completed,Completed,Completed,In Progress,Completed,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  - match_pattern,Completed,Completed,Completed,Completed,Completed,In Progress,Completed,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  - is_definite_article_sun,Completed,Completed,Completed,Completed,Completed,In Progress,Completed,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  - is_definite_article_moon,Completed,Completed,Completed,Completed,Completed,In Progress,Completed,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  - has_tanween,Completed,Completed,Completed,Completed,Completed,In Progress,Completed,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  - get_verb_form,Completed,Completed,Completed,Completed,Completed,In Progress,Completed,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  - get_noun_form,Completed,Completed,Completed,Completed,Completed,In Progress,Completed,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  - validate_arabic_text,Completed,Completed,Completed,Completed,Completed,In Progress,Completed,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
domain/prompt_builder.py,Completed,Completed,Completed,Completed,Completed,In Progress,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  - __init__,Completed,Completed,Completed,Completed,Completed,In Progress,Completed,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  - build_single_prompt,Completed,Completed,Completed,Completed,Completed,In Progress,Completed,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  - build_batch_prompt,Completed,Completed,Completed,Completed,Completed,In Progress,Completed,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  - _format_grammatical_roles,Completed,Completed,Completed,Completed,Completed,In Progress,Completed,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  - get_complexity_specific_instructions,Completed,Completed,Completed,Completed,Completed,In Progress,Completed,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  - validate_arabic_text,Completed,Completed,Completed,Completed,Completed,In Progress,Completed,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  - prepare_text_for_analysis,Completed,Completed,Completed,Completed,Completed,In Progress,Completed,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
domain/response_parser.py,Completed,Completed,Completed,Completed,Completed,In Progress,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  - __init__,Completed,Completed,Completed,Completed,Completed,In Progress,Completed,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  - parse_response,Completed,Completed,Completed,Completed,Completed,In Progress,Completed,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  - parse_batch_response,Completed,Completed,Completed,Completed,Completed,In Progress,Completed,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  - _normalize_word_data,Completed,Completed,Completed,Completed,Completed,In Progress,Completed,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  - _construct_meaning_from_ai_fields,Completed,Completed,Completed,Completed,Completed,In Progress,Completed,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  - _normalize_grammatical_role,Completed,Completed,Completed,Completed,Completed,In Progress,Completed,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  - _get_role_display_name,Completed,Completed,Completed,Completed,Completed,In Progress,Completed,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  - _create_basic_word_explanations,Completed,Completed,Completed,Completed,Completed,In Progress,Completed,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  - validate_response_structure,Completed,Completed,Completed,Completed,Completed,In Progress,Completed,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
domain/validator.py,Completed,Completed,Completed,Completed,Completed,In Progress,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  - __init__,Completed,Completed,Completed,Completed,Completed,In Progress,Completed,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  - validate_result,Completed,Completed,Completed,Completed,Completed,In Progress,Completed,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  - _validate_structure,Completed,Completed,Completed,Completed,Completed,In Progress,Completed,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
