id,word,lang_code,validated,meaning,usages,variations,source
1242,नहीं,hi,0,"no, not (negative response to a yes-no question)","no, not (used for negation of statements in the indicative and contrafactual moods)",N/A,Wiktionary
1243,दुनिया,hi,0,world,kingdom,N/A,Wiktionary
1244,में,hi,0,"bleat, baa, bleating (cry of a sheep)",N/A,N/A,Wiktionary
1245,बोध,hi,0,"insight, knowledge","intelligence; perception, cognition",N/A,Wiktionary
1247,महान,hi,0,"great, respected, renowned","big, large",N/A,Wiktionary
1248,अंतिम,hi,0,"final, last",N/A,N/A,Wiktionary
1250,ओह,hi,0,N/A,N/A,N/A,N/A
1252,पूछना,hi,0," to ask, enquire",N/A,N/A,Wiktionary
1253,कब,hi,0,when (interrogative),N/A,N/A,Wiktionary
1254,जैसा,hi,0,of such a sort as,"so, just as; as",N/A,Wiktionary
1255,विद्यालय,hi,0,"school, college, academy",N/A,N/A,Wiktionary
1256,राज्य,hi,0,"state, kingdom",reign,N/A,Wiktionary
1258,बातचीत,hi,0,conversation,dialogue; talk,N/A,Wiktionary
1259,बाहर,hi,0,outside,"outdoors, out; overseas, abroad; away from home",N/A,Wiktionary
1261,छोड़ना,hi,0,"to release, let go","to pardon, condone; to leave, abandon, quit",N/A,Wiktionary
1262,रखना,hi,0,"to keep, to have",to put,N/A,Wiktionary
1263,पसंद,hi,0,"liked, favoured, preferred","favourite, preference",N/A,Wiktionary
1264,मदद,hi,0,"help, assistance, aid, relief"," supply, aid; reinforcement",N/A,Wiktionary
1265,बड़ा,hi,0,"big, large, huge","massive, heavy; grown up, adult",N/A,Wiktionary
1267,वही,hi,0," that, that very one",the same; identical,N/A,Wiktionary
1268,सब,hi,0,all,"every; all; everyone, everybody",N/A,Wiktionary
1269,अपना,hi,0,reflexive pronoun: oneself,N/A,N/A,Wiktionary
1270,जबकि,hi,0,whenever,"as, for; whereas, though, since",N/A,Wiktionary
1271,शुरु,hi,0,misspelling of शुरू (śurū),N/A,N/A,Wiktionary
1272,तीन,hi,0,three (3),N/A,N/A,Wiktionary
1273,उच्च,hi,0,"high, lofty",loud,N/A,Wiktionary
1274,हर एक,hi,0,N/A,N/A,N/A,N/A
1275,एक और,hi,0,N/A,N/A,N/A,N/A
1276,बनना,hi,0,to become,"to be made; to be made, built",N/A,Wiktionary
1278,के बीच,hi,0,N/A,N/A,N/A,N/A
1279,होना,hi,0, to be (used to indicate that the subject and object are the same)," to be, become (to have or gain the quality of);  to exist",N/A,Wiktionary
1280,परिवार,hi,0,family; household,N/A,N/A,Wiktionary
1281,ऊपर,hi,0,"on top of, upon",above; preceding,N/A,Wiktionary
1282,अध्यक्ष,hi,0,"chairman, head, chief, president",N/A,N/A,Wiktionary
1283,पुराना,hi,0,old,"ancient; long-standing, old",N/A,Wiktionary
1284,हां,hi,0,alternative spelling of हाँ (hā̃),alternative spelling of हाँ (hā̃),N/A,Wiktionary
1285,मकान,hi,0,house,N/A,N/A,Wiktionary
1287,फिर व,hi,0,N/A,N/A,N/A,N/A
1288,छात्र,hi,0,"student, pupil, disciple",schoolboy,N/A,Wiktionary
1289,इसलिए,hi,0,"therefore, hence",for this reason,N/A,Wiktionary
1290,लगना,hi,0,"to seem, appear","to be perceived; to be hit, shoved",N/A,Wiktionary
1291,पराक्रम,hi,0,"courage, heroism, bravery",N/A,N/A,Wiktionary
1292,अंश,hi,0,"part, portion",degree; amount,N/A,Wiktionary
1293,सुनो,hi,0,"inflection of सुनना (sunnā):
second-person familiar future subjunctive
second-person familiar present imperative",second-person familiar future subjunctive; second-person familiar present imperative,N/A,Wiktionary
1294,इसका,hi,0,"genitive singular of यह (yah); his, her, its",N/A,N/A,Wiktionary
1295,जगह,hi,0,"place, site","space, room, space; vacancy",N/A,Wiktionary
1296,मुसीबत,hi,0,"calamity, disaster, catastrophe (a sudden event that causes great damage)",N/A,N/A,Wiktionary
1297,कहाँ पे,hi,0,N/A,N/A,N/A,N/A
1298,विश्वास करते हैं,hi,0,N/A,N/A,N/A,N/A
1299,देश,hi,0,"nation, country", sovereign state; the people of a country,N/A,Wiktionary
1300,हमेशा,hi,0,eternal,always; continually,N/A,Wiktionary
1301,सप्ताह,hi,0,week,N/A,N/A,Wiktionary
1302,बिंदु,hi,0,dot; point," the anusvara (ं), overdot; drop",N/A,Wiktionary
1303,हाथ,hi,0,hand,N/A,N/A,Wiktionary
1305,प्ले Play,hi,0,N/A,N/A,N/A,N/A
1306,मोड़,hi,0,"turn, bend","coil, twist; bend",N/A,Wiktionary
1307,कुछ,hi,0,something,"a little, a bit; somethings, some people",N/A,Wiktionary
1308,समूह,hi,0,group,"a community, association; block",N/A,Wiktionary
1310,विरुद्ध,hi,0,"against, opposed","contrary, opposite",N/A,Wiktionary
1311,दौड़ना,hi,0,to run,N/A,N/A,Wiktionary
1312,लोग,hi,0,people, marks the plural number,N/A,Wiktionary
1313,के बारे में,hi,0,N/A,N/A,N/A,N/A
1314,मामला,hi,0,"matter, issue"," case; case, instance",N/A,Wiktionary
1315,प्रश्न,hi,0,"question, query, problem, interrogation",N/A,N/A,Wiktionary
1317,रात,hi,0,night,N/A,N/A,Wiktionary
1318,लाइव,hi,0,N/A,N/A,N/A,N/A
1319,खेल,hi,0,"game, sport; fun","match, sporting event; scheme, plan",N/A,Wiktionary
1320,संख्या,hi,0,number,"reckoning, counting; a calculation",N/A,Wiktionary
1321,लिखो,hi,0,"inflection of लिखना (likhnā):
second-person plural subjunctive
second-person plural present imperative",second-person plural subjunctive; second-person plural present imperative,N/A,Wiktionary
1322,लाओ,hi,0,"inflection of लाना (lānā):
second-person familiar future subjunctive
second-person familiar present imperative",second-person familiar future subjunctive; second-person familiar present imperative,N/A,Wiktionary
1323,बिना,hi,0,"without, lacking",N/A,N/A,Wiktionary
1324,पैसे,hi,0,"inflection of पैसा (paisā):
direct plural
oblique/vocative singular",direct plural; oblique/vocative singular,N/A,Wiktionary
1326,अधिकांश,hi,0,"majority, major, more",majority,N/A,Wiktionary
1327,किताब,hi,0,book,N/A,N/A,Wiktionary
1328,प्रणाली,hi,0,a system,"method, technique; the way something is done",N/A,Wiktionary
1329,सरकार,hi,0, government, the government of a nation,N/A,Wiktionary
1330,अगला,hi,0,next,"coming, in the future; front, chief",N/A,Wiktionary
1331,शहर,hi,0,city,N/A,N/A,Wiktionary
1332,कंपनी,hi,0,"company, firm",N/A,N/A,Wiktionary
1333,कहानी,hi,0,"story, narrative",plot,N/A,Wiktionary
1334,आज,hi,0,today,today,N/A,Wiktionary
1335,काम,hi,0,"work, task, labour","job, employment; function, purpose",N/A,Wiktionary
1336,कदम,hi,0,"kadam, burflower tree, Leichhardt pine (Neolamarckia cadamba)",nuqtaless form of क़दम (qadam),N/A,Wiktionary
1337,जरूर,hi,0,nuqtaless form of ज़रूर (zarūr),nuqtaless form of ज़रूर (zarūr),N/A,Wiktionary
1338,खराब,hi,0,nuqtaless form of ख़राब (xarāb),N/A,N/A,Wiktionary
1339,दोस्त,hi,0,friend,N/A,N/A,Wiktionary
1340,दौरान,hi,0,"revolving, turning, whirling","duration, period; circulation (as of the blood)",N/A,Wiktionary
1341,शुरू,hi,0,beginning,commencement; onset,N/A,Wiktionary
1343,प्रत्येक,hi,0,"each, every; all",N/A,N/A,Wiktionary
1344,पकड़,hi,0,"the act of grasping, holding","grip, hold, grasp; understanding",N/A,Wiktionary
1345,विभिन्न,hi,0,"varied, assorted, diverse","discrepant, different",N/A,Wiktionary
1346,अमेरिकन,hi,0,American,American (person),N/A,Wiktionary
1349,कभी,hi,0,"sometimes, once in a while",ever,N/A,Wiktionary
1350,शब्द,hi,0,"word, term",sound,N/A,Wiktionary
1351,तथ्य,hi,0,"fact, truth, reality",N/A,N/A,Wiktionary
1353,पढ़ना,hi,0,to read,"to study, learn; to recite; to read out (an announcement, a poem)",N/A,Wiktionary
1354,कुछ भी,hi,0,N/A,N/A,N/A,N/A
1355,कुछ नहीं,hi,0,N/A,N/A,N/A,N/A
1356,ज़रूर,hi,0,"certainly, surely",definitely; of course!,N/A,Wiktionary
1357,छोटा,hi,0,"little, small","younger, junior, minor, lesser; subordinate, inferior, common",N/A,Wiktionary
1358,महीना,hi,0,month,N/A,N/A,Wiktionary
1359,कार्यक्रम,hi,0,"program, itinerary",N/A,N/A,Wiktionary
1361,अधिकार,hi,0,"right, prerogative",authority; power,N/A,Wiktionary
1362,अंतर्गत,hi,0,"inner, internal",N/A,N/A,Wiktionary
1363,व्यापार,hi,0,"business, trade, commerce",activity; profession,N/A,Wiktionary
1365,मेहरबान,hi,0,kind,N/A,N/A,Wiktionary
1366,विराम,hi,0,"stop, ending",pause; comma; virama (a diacritic used to remove an inherent vowel),N/A,Wiktionary
1367,भुगतान कर,hi,0,N/A,N/A,N/A,N/A
1368,पढाई,hi,0,N/A,N/A,N/A,N/A
1369,जबसे,hi,0,N/A,N/A,N/A,N/A
1370,मुद्दा,hi,0,"subject, topic","object (the topic under discussion); issue, matter, problem",N/A,Wiktionary
1371,नाम,hi,0,name,"name, fame, reputation;  the divine name",N/A,Wiktionary
1372,विचार,hi,0,thought,idea; consideration,N/A,Wiktionary
1373,कक्ष,hi,0,"room, chamber (a part of a building enclosed by walls, a floor, and a ceiling)",N/A,N/A,Wiktionary
1374,प्रतिशत,hi,0,"percent (per cent, %)",N/A,N/A,Wiktionary
1376,दूर,hi,0,"distant, far","away, off; distance, remoteness",N/A,Wiktionary
1377,कानून,hi,0,nuqtaless form of क़ानून (qānūn),N/A,N/A,Wiktionary
1378,वास्तव में,hi,0,"really, in reality; actually, in actuality; in fact",N/A,N/A,Wiktionary
1379,विशाल,hi,0,large,"a male given name, Vishal, from Sanskrit",N/A,Wiktionary
1381,प्रदान करें,hi,0,N/A,N/A,N/A,N/A
1382,खोना,hi,0,to lose,N/A,N/A,Wiktionary
1383,शक्ति,hi,0,"power, energy, potency",strength; force,N/A,Wiktionary
1384,बच्चा,hi,0,child,young,N/A,Wiktionary
1385,युद्ध,hi,0,war,N/A,N/A,Wiktionary
1386,समझना,hi,0,to understand,to comprehend; to perceive,N/A,Wiktionary
1387,सिर,hi,0, head," brain, mind",N/A,Wiktionary
1388,मां,hi,0,alternative spelling of माँ (mā̃),N/A,N/A,Wiktionary
1389,असली,hi,0,"real, genuine",true; pure,N/A,Wiktionary
1390,श्रेष्ठ,hi,0,"excellent, high-quality, best",N/A,N/A,Wiktionary
1391,टीम,hi,0,team,N/A,N/A,Wiktionary
1392,आंख,hi,0,misspelling of आँख (ā̃kh),N/A,N/A,Wiktionary
1394,लंबा,hi,0,tall,"long; expanded, great, large",N/A,Wiktionary
1395,पक्ष,hi,0,"faction, side, party","aspect, quality; support, approval",N/A,Wiktionary
1396,पानी,hi,0,water,"rain, monsoon; lustre, brightness",N/A,Wiktionary
1397,युवा,hi,0,young,N/A,N/A,Wiktionary
1398,रुको,hi,0,"inflection of रुकना (ruknā):
second-person familiar future subjunctive
second-person familiar present imperative",second-person familiar future subjunctive; second-person familiar present imperative,N/A,Wiktionary
1399,ठीक,hi,0,"right, correct, accurate, appropriate, proper","good, okay, fine; immediate; very close, direct, or adjacent",N/A,Wiktionary
1401,अभी तक,hi,0,N/A,N/A,N/A,N/A
1403,मिलना,hi,0,"to meet, encounter; have a meeting [with (oblique +) से (se) ‘with someone’]","to be found [with dative or (oblique +) को (ko) ‘by someone’]; to be mixed, blended, combined",N/A,Wiktionary
1404,सेवा,hi,0,"service, care","service, facility",N/A,Wiktionary
1405,क्षेत्र,hi,0,"field, area of study","region, area, zone; field, land, enclosed plot of ground",N/A,Wiktionary
1406,जरूरी,hi,0,nuqtaless form of ज़रूरी (zarūrī),N/A,N/A,Wiktionary
1407,आदमी,hi,0,"human being, person","man, male",N/A,Wiktionary
1408,अरे,hi,0,"hey, oh, arrey",N/A,N/A,Wiktionary
1410,बहुत,hi,0,many,much; too much,N/A,Wiktionary
1411,कोई आ,hi,0,N/A,N/A,N/A,N/A
1414,हालाँकि,hi,0,"although, however",N/A,N/A,Wiktionary
1415,केवल,hi,0,sole,one and only; only,N/A,Wiktionary
1417,घंटा,hi,0,hour,"clock; bell, gong",N/A,Wiktionary
1418,हर चीज़,hi,0,N/A,N/A,N/A,N/A
1419,राष्ट्रीय,hi,0,national,N/A,N/A,Wiktionary
1420,चार,hi,0,four,N/A,N/A,Wiktionary
1421,रेखा,hi,0, line,"mark; sign; curve, stroke",N/A,Wiktionary
1422,लड़की,hi,0,girl,daughter,N/A,Wiktionary
1423,चारों तरफ,hi,0,N/A,N/A,N/A,N/A
1424,घड़ी,hi,0,"clock, watch (a timekeeper)","a short period of time, specifically 24 minutes;  time",N/A,Wiktionary
1425,जब तक,hi,0,until,N/A,N/A,Wiktionary
1426,पिता,hi,0,father,N/A,N/A,Wiktionary
1427,बैठना,hi,0,to sit,"to relax, do nothing;  to do something carelessly",N/A,Wiktionary
1428,सृजन करना,hi,0,"to create, make, generate,  produce",N/A,N/A,Wiktionary
1429,जानकारी,hi,0,"information, knowledge, data",N/A,N/A,Wiktionary
1430,कार,hi,0,tax,"action, doing; work",N/A,Wiktionary
1431,सीखना,hi,0,to learn,N/A,N/A,Wiktionary
1432,कम से कम,hi,0,at least,N/A,N/A,Wiktionary
1433,पहले से,hi,0,already,N/A,N/A,Wiktionary
1434,मार,hi,0,killing,"a beating, fight; target; shot, strike, goal",N/A,Wiktionary
1435,मिनट,hi,0, minute,N/A,N/A,Wiktionary
1436,दल,hi,0,"group, team",party,N/A,Wiktionary
1437,शामिल,hi,0,"included, present, incorporated","associated, involved",N/A,Wiktionary
1438,स्टैंड,hi,0,N/A,N/A,N/A,N/A
1439,साथ में,hi,0,N/A,N/A,N/A,N/A
1441,अनुसरण करना,hi,0,N/A,N/A,N/A,N/A
1442,स्वास्थ्य,hi,0,health,N/A,N/A,Wiktionary
1443,याद करना,hi,0,"to remember, to recall",N/A,N/A,Wiktionary
1444,अक्सर,hi,0,"often, usually, frequently",N/A,N/A,Wiktionary
1445,कारण,hi,0,cause,reason,N/A,Wiktionary
1446,बोलना,hi,0,"to speak, say","to tell, say to [with को (ko) or से (se) ‘to’]",N/A,Wiktionary
1447,पहले,hi,0,"previously, earlier, before","first, firstly",N/A,Wiktionary
1448,सेट,hi,0,N/A,N/A,N/A,N/A
1449,काला,hi,0,black,"dirty, grimy;  black (having dark skin)",N/A,Wiktionary
1450,सदस्य,hi,0,member, user,N/A,Wiktionary
1451,समुदाय,hi,0,community,N/A,N/A,Wiktionary
1452,एक बार,hi,0,N/A,N/A,N/A,N/A
1453,सामाजिक,hi,0,social,N/A,N/A,Wiktionary
1454,समाचार,hi,0,"news, information",N/A,N/A,Wiktionary
1455,अनुमति,hi,0,"permission, authorization, consent",N/A,N/A,Wiktionary
1456,जीत,hi,0,"victory, win",N/A,N/A,Wiktionary
1457,तन,hi,0,"body, self",N/A,N/A,Wiktionary
1458,प्रमुख,hi,0,"foremost, chief, principal",a distinguished person,N/A,Wiktionary
1459,जारी रखें,hi,0,N/A,N/A,N/A,N/A
1460,कि क्या,hi,0,N/A,N/A,N/A,N/A
1461,पर्याप्त,hi,0,"enough, sufficient, adequate, ample",N/A,N/A,Wiktionary
1462,बिताना,hi,0,"to spend, pass, live out",N/A,N/A,Wiktionary
1463,स्तर,hi,0,"level, slope",N/A,N/A,Wiktionary
1464,काबिल,hi,0,N/A,N/A,N/A,N/A
1465,राजनीतिक,hi,0,political,N/A,N/A,Wiktionary
1466,लगभग,hi,0,approximately,"nearly, almost",N/A,Wiktionary
1467,लड़का,hi,0,boy,son,N/A,Wiktionary
1468,विश्वविद्यालय,hi,0,university,N/A,N/A,Wiktionary
1469,इससे पहले,hi,0,N/A,N/A,N/A,N/A
1471,जोड़ें,hi,0,"inflection of जोड़ना (joṛnā):
first/third-person plural future subjunctive
second-person formal future subjunctive",first/third-person plural future subjunctive; second-person formal future subjunctive,N/A,Wiktionary
1472,बाद में,hi,0,N/A,N/A,N/A,N/A
1473,परिवर्तन,hi,0,"change, transformation","transmutation; exchange, conversion",N/A,Wiktionary
1474,पंज,hi,0,N/A,N/A,N/A,N/A
1475,शायद,hi,0,"maybe, perhaps",N/A,N/A,Wiktionary
1476,केंद्र,hi,0,"centre; middle, focus", the centre,N/A,Wiktionary
1477,के बीच में,hi,0,N/A,N/A,N/A,N/A
1478,चेहरा,hi,0,"face, countenance",N/A,N/A,Wiktionary
1479,जनता,hi,0,"the public, masses",common folk,N/A,Wiktionary
1480,मरना,hi,0,"to die, be dead",to be captured (a piece in a game); to be out (as in a game),N/A,Wiktionary
1481,खाना,hi,0,"food, meal","to eat, subsist on;  to obtain",N/A,Wiktionary
1482,अन्यथा,hi,0," otherwise, or else",N/A,N/A,Wiktionary
1483,इतिहास,hi,0,history,N/A,N/A,Wiktionary
1484,खरीदना,hi,0,nuqtaless form of ख़रीदना (xarīdnā),N/A,N/A,Wiktionary
1485,नतीजा,hi,0,"result, conclusion",N/A,N/A,Wiktionary
1486,प्रभात,hi,0,"morning, dawn","a male given name, Prabhat, from Sanskrit",N/A,Wiktionary
1487,बंद,hi,0,"closed, shut",clogged; discontinued,N/A,Wiktionary
1488,माता-पिता,hi,0, parents,N/A,N/A,Wiktionary
1489,कार्यालय,hi,0,"office, workplace",administrative division,N/A,Wiktionary
1490,अवधि,hi,0,"period of time, term",N/A,N/A,Wiktionary
1491,भेजना,hi,0,to send,N/A,N/A,Wiktionary
1492,अनुसंधान,hi,0,"research, investigation",N/A,N/A,Wiktionary
1493,टहल लो,hi,0,N/A,N/A,N/A,N/A
1494,द्वार,hi,0,door,"gate, opening; any means of entrance; way, means",N/A,Wiktionary
1495,गोरा,hi,0,fair, a white person; a Caucasian,N/A,Wiktionary
1496,कई,hi,0,"several things, several people","many, many people; several, many",N/A,Wiktionary
1497,कोर्ट,hi,0, court," court, field",N/A,Wiktionary
1498,घर,hi,0,"house, home; dwelling",den; nest,N/A,Wiktionary
1499,बढ़ना,hi,0,to increase,"to grow, become larger; to rise",N/A,Wiktionary
1501,खुला हुआ,hi,0,N/A,N/A,N/A,N/A
1502,पल,hi,0,"jiffy, moment",N/A,N/A,Wiktionary
1503,समेत,hi,0,"assembled, collected, gathered",N/A,N/A,Wiktionary
1504,विचार करना,hi,0,"to think, ponder",N/A,N/A,Wiktionary
1505,दोनों,hi,0,both,N/A,N/A,Wiktionary
1506,ऐसा,hi,0,of this sort; of this kind,such a thing,N/A,Wiktionary
1507,छोटा सा,hi,0,N/A,N/A,N/A,N/A
1508,अंदर,hi,0,"inside, within, in",N/A,N/A,Wiktionary
1509,दूसरा,hi,0,"other, another","second; copy, duplicate",N/A,Wiktionary
1510,देर,hi,0,period of time; a while,"delay, hold-up (also देरी (derī))",N/A,Wiktionary
1511,मोहल्ला,hi,0,a alternative form of मुहल्ला (muhallā),N/A,N/A,Wiktionary
1512,नि: शुल्क,hi,0,N/A,N/A,N/A,N/A
1513,बेहतर,hi,0,"better, improved",N/A,N/A,Wiktionary
1514,सब लोग,hi,0,N/A,N/A,N/A,N/A
1515,नीति,hi,0,"policy, political science","behaviour, conduct, act; ethics, morality",N/A,Wiktionary
1516,टेबल,hi,0,a table,N/A,N/A,Wiktionary
1517,माफ़ करना,hi,0,to forgive,N/A,N/A,Wiktionary
1518,देखभाल,hi,0,"raising, caring",N/A,N/A,Wiktionary
1519,कम,hi,0,less (in lower degree; to smaller extent),little (not much); few (small number),N/A,Wiktionary
1520,मानव,hi,0,human being,"man, male; mankind, humanity",N/A,Wiktionary
1521,कृपया,hi,0," please, would you kindly",N/A,N/A,Wiktionary
1522,आशा,hi,0,hope,"expectation; a female given name, Asha, from Sanskrit",N/A,Wiktionary
1523,सत्य,hi,0,"true, real","sincere, honest, righteous; truth",N/A,Wiktionary
1524,प्रक्रिया,hi,0,"process, method, means","procedure, action;  reaction",N/A,Wiktionary
1525,शिक्षक,hi,0,"teacher, educator",N/A,N/A,Wiktionary
